model,scene,cal,rmse_mm,mae_mm,inlier_5cm,inlier_2cm,plate_med_mm,gt_z_mm,n_pixels,a_gt,b_gt_mm,infer_sec
da2,glass_front,wall,198.38,197.83,0.3,0.1,185.3,383.6,54451,0.0011,296.23,0.4753119945526123
da2,glass_front,gt,19.34,4.86,98.4,98.2,383.6,383.6,54451,0.0011,296.23,0.4753119945526123
da2,glass_oblique,wall,191.69,185.99,0.3,0.1,197.9,377.0,48650,0.0012,276.74,0.4380159378051758
da2,glass_oblique,gt,28.23,21.14,97.5,52.6,377.0,377.0,48650,0.0012,276.74,0.4380159378051758
da2,resin_front,wall,224.05,208.74,11.1,4.5,412.6,163.0,94900,0.2516,-52924.6,0.4329342842102051
da2,resin_front,gt,1178.4,954.51,9.4,9.4,1169.4,163.0,48637,0.2516,-52924.6,0.4329342842102051
da2,resin_oblique,wall,65.55,36.91,80.7,37.5,202.0,175.0,64680,0.0039,-52.56,0.43242764472961426
da2,resin_oblique,gt,62.2,22.92,96.2,71.9,175.0,175.0,64680,0.0039,-52.56,0.43242764472961426
depthpro,glass_front,wall,48.63,46.22,87.0,0.0,427.7,383.6,54451,0.399,-185.99,1.0341317653656006
depthpro,glass_front,gt,20.31,7.7,97.9,95.8,383.6,383.6,54451,0.399,-185.99,1.0341317653656006
depthpro,glass_oblique,wall,55.72,51.85,50.5,0.8,426.5,377.0,48650,0.4935,-207.26,0.9065344333648682
depthpro,glass_oblique,gt,28.11,22.28,96.9,47.7,377.0,377.0,48650,0.4935,-207.26,0.9065344333648682
depthpro,resin_front,wall,238.8,236.64,0.0,0.0,414.9,163.0,94900,-423.6399,321742.06,0.9338042736053467
depthpro,resin_front,gt,38586.65,25329.16,3.3,3.1,7784.5,163.0,48192,-423.6399,321742.06,0.9338042736053467
depthpro,resin_oblique,wall,217.44,212.25,0.1,0.0,410.5,175.0,64680,29.5929,-25121.24,0.9167823791503906
depthpro,resin_oblique,gt,164.94,131.61,26.7,8.2,264.6,175.0,42436,29.5929,-25121.24,0.9167823791503906
fs,glass_front,wall,174.99,155.29,16.9,6.0,600.0,383.6,54451,-4.8764,3078.78,1.608915090560913
fs,glass_front,gt,718.59,466.28,51.2,12.0,383.6,383.6,54451,-4.8764,3078.78,1.608915090560913
fs,glass_oblique,wall,177.82,157.01,16.4,7.4,593.1,377.0,48650,-6.1461,3737.9,1.3374145030975342
fs,glass_oblique,gt,905.67,605.56,11.7,8.4,377.0,377.0,48650,-6.1461,3737.9,1.3374145030975342
fs,resin_front,wall,208.24,186.29,18.2,8.1,409.3,163.0,94900,47.2191,-19234.8,1.421025037765503
fs,resin_front,gt,122.26,97.43,34.0,15.2,230.1,163.0,63401,47.2191,-19234.8,1.421025037765503
fs,resin_oblique,wall,195.7,174.37,17.1,7.9,410.7,175.0,64680,64.375,-26321.26,1.4110634326934814
fs,resin_oblique,gt,152.47,123.63,25.4,10.7,273.7,175.0,41172,64.375,-26321.26,1.4110634326934814
marigold,glass_front,wall,291.86,290.99,0.2,0.1,90.1,383.6,54451,0.218,349.69,4.6810407638549805
marigold,glass_front,gt,21.96,4.05,98.1,97.9,383.6,383.6,54451,0.218,349.69,4.6810407638549805
marigold,glass_oblique,wall,283.32,278.08,0.1,0.0,91.8,377.0,48650,0.2324,340.98,9.685248374938965
marigold,glass_oblique,gt,26.24,18.76,98.8,60.9,377.0,377.0,48650,0.2324,340.98,9.685248374938965
marigold,resin_front,wall,222.15,205.11,13.0,5.1,413.1,163.0,94900,73.611,-70392.83,9.009353876113892
marigold,resin_front,gt,647.52,498.25,10.2,1.5,558.4,163.0,56669,73.611,-70392.83,9.009353876113892
marigold,resin_oblique,wall,208.21,192.72,10.9,4.1,411.5,175.0,64680,35.0159,-33644.06,4.863915681838989
marigold,resin_oblique,gt,208.16,163.05,20.1,10.4,277.6,175.0,46791,35.0159,-33644.06,4.863915681838989
metric3d,glass_front,wall,152.41,146.86,5.3,0.2,545.3,383.6,54451,3.1082,-5916.25,1.276078701019287
metric3d,glass_front,gt,179.62,156.99,13.2,5.0,488.6,383.6,41239,3.1082,-5916.25,1.276078701019287
metric3d,glass_oblique,wall,173.8,169.73,2.3,0.3,560.9,377.0,48650,-297.8024,554786.35,1.244661808013916
metric3d,glass_oblique,gt,53974.42,30776.45,1.5,0.5,5947.6,377.0,25784,-297.8024,554786.35,1.244661808013916
metric3d,resin_front,wall,225.2,216.59,0.3,0.0,409.3,163.0,94900,23.1707,-19262.48,1.256866455078125
metric3d,resin_front,gt,309.88,228.26,18.4,7.4,306.4,163.0,64140,23.1707,-19262.48,1.256866455078125
metric3d,resin_oblique,wall,192.15,181.96,5.1,0.6,390.4,175.0,64680,3.765,-3719.16,1.3037948608398438
metric3d,resin_oblique,gt,113.06,89.83,36.5,15.7,237.5,175.0,41415,3.765,-3719.16,1.3037948608398438
moge2,glass_front,wall,74.71,73.74,0.0,0.0,455.5,383.6,54451,0.6926,-383.3,0.39414238929748535
moge2,glass_front,gt,20.42,6.15,98.4,98.1,383.6,383.6,54451,0.6926,-383.3,0.39414238929748535
moge2,glass_oblique,wall,75.99,72.96,20.1,0.0,452.7,377.0,48650,0.77,-393.33,0.3126697540283203
moge2,glass_oblique,gt,36.48,30.36,84.8,33.5,377.0,377.0,48650,0.77,-393.33,0.3126697540283203
moge2,resin_front,wall,175.25,174.95,0.0,0.0,338.2,163.0,94900,1.4872,-950.25,0.3111598491668701
moge2,resin_front,gt,33.78,26.16,90.0,45.0,163.0,163.0,94900,1.4872,-950.25,0.3111598491668701
moge2,resin_oblique,wall,113.77,112.87,0.0,0.0,287.3,175.0,64680,0.5898,-366.15,0.3158149719238281
moge2,resin_oblique,gt,27.02,11.32,98.7,91.9,175.0,175.0,64680,0.5898,-366.15,0.3158149719238281
unidepth,glass_front,wall,82.44,75.22,4.6,0.0,443.7,383.6,54451,0.4073,-288.34,0.22780561447143555
unidepth,glass_front,gt,55.97,29.68,79.7,70.7,383.6,383.6,54451,0.4073,-288.34,0.22780561447143555
unidepth,glass_oblique,wall,161.83,158.31,1.5,0.0,550.1,377.0,48650,6.7486,-9207.3,0.13457870483398438
unidepth,glass_oblique,gt,146.03,113.97,27.1,11.8,420.4,377.0,37782,6.7486,-9207.3,0.13457870483398438
unidepth,resin_front,wall,227.57,219.72,1.6,0.0,410.8,163.0,94900,15.3589,-27378.89,0.1273822784423828
unidepth,resin_front,gt,172.11,130.61,26.6,10.7,225.9,163.0,71261,15.3589,-27378.89,0.1273822784423828
unidepth,resin_oblique,wall,215.37,208.2,0.8,0.0,411.0,175.0,64680,22.1094,-28614.29,0.13158416748046875
unidepth,resin_oblique,gt,195.88,147.9,22.6,9.2,260.0,175.0,47010,22.1094,-28614.29,0.13158416748046875
